,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,IWH,IWD,IWA,WHH,WHD,WHA,season,match_name,winner,home_score,away_score,h_odd,d_odd,a_odd,h_match_points,a_match_points,ht_rank,ht_ls_rank,ht_days_ls_match,ht_points,ht_l_points,ht_l_wavg_points,ht_goals,ht_l_goals,ht_l_wavg_goals,ht_goals_sf,ht_l_goals_sf,ht_l_wavg_goals_sf,ht_wins,ht_draws,ht_losses,ht_win_streak,ht_loss_streak,ht_draw_streak,at_rank,at_ls_rank,at_days_ls_match,at_points,at_l_points,at_l_wavg_points,at_goals,at_l_goals,at_l_wavg_goals,at_goals_sf,at_l_goals_sf,at_l_wavg_goals_sf,at_wins,at_draws,at_losses,at_win_streak,at_loss_streak,at_draw_streak,ls_winner,FTR_y,spi1,spi2
0,E0,8/19/2006,Arsenal,Aston Villa,1,1,D,0,0,D,G Poll,19,5,11,3,10,19,18,1,1,2,0,0,1.28,4.5,13,1.3,4.4,8.5,1.28,4.5,8,2006,Arsenal - Aston Villa,DRAW,1,1,1.26,4.83,10,1,1,3,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOME_TEAM,1,84.72384848,63.5231202
1,E0,8/19/2006,Bolton,Tottenham,2,0,H,2,0,H,P Dowd,8,9,6,6,19,22,6,3,0,1,0,0,2.62,3.2,2.6,2.5,3.1,2.6,2.6,3.1,2.4,2006,Bolton - Tottenham,HOME_TEAM,2,0,2.63,3.13,2.48,3,0,7,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOME_TEAM,2,66.53519697,81.98023256
2,E0,8/19/2006,Everton,Watford,2,1,H,1,0,H,P Walton,6,12,2,8,12,13,0,6,2,2,0,0,1.66,3.4,5.5,1.7,3.4,4.3,1.57,3.3,5.5,2006,Everton - Watford,HOME_TEAM,2,1,1.59,3.42,5.55,3,0,6,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,76.98395556,54.91369565
3,E0,8/19/2006,Newcastle,Wigan,2,1,H,1,0,H,M Atkinson,9,14,8,9,17,20,4,11,1,2,0,0,1.72,3.5,4.75,1.7,3.4,4.3,1.72,3.2,4.33,2006,Newcastle - Wigan,HOME_TEAM,2,1,1.72,3.35,4.62,3,0,13,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOME_TEAM,2,63.14091071,60.80645455
4,E0,8/19/2006,Portsmouth,Blackburn,3,0,H,1,0,H,A Wiley,21,9,16,7,20,17,6,2,2,1,0,2,2.3,3.1,3.1,2.5,3.1,2.6,2.2,3.1,2.87,2006,Portsmouth - Blackburn,HOME_TEAM,3,0,2.31,3.13,2.92,3,0,9,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DRAW,2,65.48654863,64.67371717
5,E0,8/19/2006,Reading,Middlesbrough,3,2,H,2,2,D,M Halsey,14,7,9,5,8,15,8,2,1,3,0,0,2.5,3.1,2.8,2.5,3.1,2.6,2.25,3.1,2.8,2006,Reading - Middlesbrough,HOME_TEAM,3,2,2.25,3.17,2.93,3,0,8,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,64.77219368,63.63734783
6,E0,8/19/2006,Sheffield United,Liverpool,1,1,D,0,0,D,R Styles,5,12,3,7,10,16,0,12,1,2,0,0,6,3.8,1.53,4.8,3.6,1.6,5.5,3.5,1.53,2006,Sheffield United - Liverpool,DRAW,1,1,6.38,3.57,1.51,1,1,18,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,54.41533913,84.30266667
7,E0,8/19/2006,West Ham,Charlton,3,1,H,0,1,A,H Webb,16,4,5,2,14,14,6,0,2,2,0,1,2,3.2,3.75,2,3.2,3.3,1.9,3.1,3.6,2006,West Ham - Charlton,HOME_TEAM,3,1,2,3.15,3.6,3,0,15,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DRAW,2,58.92,57.95013171
8,E0,8/20/2006,Chelsea,Man City,3,0,H,2,0,H,S Bennett,10,5,4,2,7,15,5,2,1,3,0,1,1.22,5.5,13,1.25,4.8,9.5,1.2,5,11,2006,Chelsea - Man City,HOME_TEAM,3,0,1.2,5.33,12,3,0,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOME_TEAM,2,86.32181818,60.91694237
9,E0,8/20/2006,Man United,Fulham,5,1,H,4,1,H,A Marriner,15,12,7,8,14,20,5,2,1,1,0,0,1.22,5.5,13,1.3,4.4,8.5,1.22,5,9.5,2006,Man United - Fulham,HOME_TEAM,5,1,1.24,5.08,11,3,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOME_TEAM,2,84.82545455,60.08798419
